Issue_ID,component_name
14488,agent
14488,containerization
14488,gpu
14489,release
14490,executor
14497,master
14498,build
14506,agent
14509,master
14509,allocation
14510,build
14513,project website
14514,master
14515,build
14519,allocation
14521,test
14522,master
14534,c++ api
14534,framework
14536,test
14537,master
14537,scheduler driver
14540,build
14543,build
14544,test
14545,build
14546,build
14547,master
14549,agent
14549,framework
14550,containerization
14551,build
14553,containerization
14554,containerization
14555,webui
14556,libprocess
14557,libprocess
14558,build
14560,libprocess
14561,agent
14561,containerization
14562,agent
14563,containerization
14564,master
14565,documentation
14566,libprocess
14567,libprocess
14568,libprocess
14569,libprocess
14570,libprocess
14571,allocation
14573,containerization
14576,agent
14580,stout
14581,master
14582,agent
14583,master
14584,agent
14584,master
14585,agent
14585,master
14586,master
14589,java api
14589,reviewbot
14590,agent
14591,master
14599,HTTP API
14600,containerization
14601,containerization
14602,containerization
14603,containerization
14611,master
14612,containerization
14613,agent
14613,containerization
14613,executor
14613,docker
14614,containerization
14615,stout
14616,executor
14622,master
14623,master
14631,containerization
14637,webui
14638,libprocess
14639,master
14639,HTTP API
14641,agent
14651,build
14653,HTTP API
14662,libprocess
14665,master
14665,test
14666,build
14666,libprocess
14667,agent
14667,master
14668,libprocess
14671,executor
14671,libprocess
14672,master
14673,master
14675,libprocess
14676,agent
14676,containerization
14677,agent
14677,containerization
14678,stout
14696,HTTP API
14700,build
14701,agent
14703,allocation
14707,build
14709,agent
14710,libprocess
14710,HTTP API
14711,containerization
14712,containerization
14713,agent
14714,containerization
14715,containerization
14716,agent
14717,agent
14718,containerization
14719,allocation
14720,release
14720,build
14720,cli
14721,agent
14722,storage
14725,HTTP API
14726,test
14728,containerization
14729,master
14729,allocation
14730,master
14732,test
14734,agent
14735,allocation
14736,allocation
14738,master
14740,documentation
14742,agent
14743,containerization
14744,master
14745,build
14746,allocation
14746,scheduler api
14747,test
14747,resource provider
14748,allocation
14752,master
14752,test
14753,containerization
14756,flaky
14757,webui
14758,test
14759,agent
14759,containerization
14760,agent
14760,containerization
14761,allocation
14762,containerization
14762,scheduler api
14763,master
14764,test
14765,json api
14766,webui
14769,containerization
14769,cni
14770,containerization
14771,master
14772,libprocess
14775,test
14777,json api
14778,containerization
14778,storage
14780,containerization
14780,HTTP API
14782,stout
14784,build
14785,containerization
14791,agent
14791,containerization
14793,resource provider
14795,containerization
14796,flaky
14798,master
14798,scheduler api
14802,containerization
14803,agent
14804,containerization
14805,containerization
14807,master
14809,master
14817,metrics
14818,agent
14820,libprocess
14821,libprocess
14822,allocation
14823,modules
14826,master
14826,allocation
14827,allocation
14828,documentation
14828,scheduler api
14829,scheduler driver
14830,containerization
14831,executor
14832,webui
14833,documentation
14834,containerization
14835,containerization
14836,containerization
14837,containerization
14838,containerization
14839,containerization
14840,agent
14841,containerization
14842,containerization
14843,test
14844,HTTP API
14845,containerization
14846,build
14846,libprocess
14847,master
14848,containerization
14849,containerization
14850,containerization
14851,containerization
14852,containerization
14853,containerization
14854,agent
14855,agent
14856,agent
14857,allocation
14858,agent
14858,master
14859,agent
14860,master
14861,master
14862,master
14862,documentation
14863,master
14864,allocation
14870,allocation
14871,allocation
14872,containerization
14873,libprocess
14874,storage
14875,allocation
14876,agent
14876,master
14877,fetcher
14878,containerization
14879,cmake
14881,cli
14882,containerization
14883,containerization
14886,libprocess
14887,libprocess
14888,documentation
14889,containerization
14890,libprocess
14892,HTTP API
14893,libprocess
14895,allocation
14896,allocation
14897,allocation
14898,agent
14898,HTTP API
14898,resource provider
14899,allocation
14900,master
14902,containerization
14903,libprocess
14904,libprocess
14906,containerization
14907,containerization
14908,containerization
14909,containerization
14910,master
14911,libprocess
14912,test
14914,master
14914,scheduler api
14915,storage
14917,agent
14917,docker
14918,allocation
14920,containerization
14921,containerization
14926,build
14927,agent
14927,executor
14929,master
14929,allocation
14931,master
14933,agent
14933,storage
14934,cmake
14935,libprocess
14939,allocation
14940,containerization
14943,allocation
14944,allocation
14946,cli
14947,libprocess
14949,build
14950,agent
14950,executor
14955,allocation
14956,storage
14957,containerization
14959,build
14964,fetcher
14965,storage
14966,agent
14967,allocation
14968,containerization
14973,containerization
14974,containerization
14976,allocation
14980,build
14981,test
14982,containerization
14983,containerization
14984,containerization
14985,allocation
14986,allocation
14988,stout
14989,allocation
14991,build
14996,master
14998,agent
14998,resource provider
14999,test
14999,storage
15000,build
15001,containerization
15002,containerization
15003,master
15003,allocation
15004,containerization
15005,containerization
15006,agent
15010,agent
15014,build
15014,cmake
15015,build
15015,cmake
15016,storage
15018,build
15022,storage
15023,storage
15024,allocation
15026,containerization
15035,containerization
15036,containerization
15038,storage
15039,agent
15039,master
15040,master
15040,HTTP API
15041,build
15043,containerization
15043,allocation
15044,storage
15045,storage
15046,test
