Sprint_ID,Name,State,Start_Date,End_Date,Activated_Date,Complete_Date,Project_ID
264,Studio 1: RI-23 68,ACTIVE,2020-03-11 15:51:02,2020-03-25 15:51:00,,,4
265,Studio 1: RI-23 66,CLOSED,2020-02-12 16:16:55,2020-02-26 16:16:00,,2020-02-26 14:08:30,4
266,Studio 4: RI-23 64,ACTIVE,2020-01-15 15:22:18,2020-01-29 15:22:00,,,4
267,Studio 1: RI-24 65,CLOSED,2020-01-29 16:36:24,2020-02-12 16:36:00,,2020-02-12 16:16:06,4
268,Studio 4: RI-22 63,CLOSED,2020-01-06 14:18:17,2020-01-15 14:18:00,,2020-01-15 14:18:37,4
269,Studio 1: RI-23 64,CLOSED,2020-01-15 15:23:02,2020-01-29 15:23:00,,2020-01-29 16:20:22,4
270,Studio 4: RI-21 61,CLOSED,2019-12-04 14:22:44,2019-12-18 14:22:00,,2019-12-18 14:19:53,4
271,Studio 3: RI-23 64,CLOSED,2020-01-15 15:23:36,2020-01-29 15:23:00,,2020-02-26 14:07:47,4
272,Studio 4: RI-21 60,CLOSED,2019-11-20 16:02:56,2019-12-04 16:02:00,,2019-12-04 14:22:16,4
273,Studio 4: RI-22 62,CLOSED,2019-12-18 14:24:55,2020-01-01 14:24:00,,2020-01-06 14:15:10,4
274,Foundations: RI-20 59,CLOSED,2019-11-06 16:56:38,2019-11-20 16:56:00,,2019-11-20 15:29:09,4
275,Foundations: RI-19 57,CLOSED,2019-10-09 15:29:13,2019-10-23 15:29:00,,2019-10-23 15:20:58,4
276,Resource Mgmt: RI-20 58,CLOSED,2019-10-23 17:02:35,2019-11-06 17:02:00,,2019-11-06 17:07:29,4
277,Resource Mgmt: RI-19 56,CLOSED,2019-09-25 16:42:25,2019-10-09 16:42:00,,2019-10-09 17:10:39,4
278,Foundations: RI-20 58,CLOSED,2019-10-23 15:59:15,2019-11-06 16:59:00,,2019-11-06 16:16:00,4
279,Foundations: RI-19 56,CLOSED,2019-09-25 15:27:45,2019-10-09 15:27:00,,2019-10-09 15:11:08,4
280,Resource Mgmt: RI-18 55,CLOSED,2019-09-11 15:32:39,2019-09-25 15:32:00,,2019-09-25 16:25:17,4
281,Foundations: RI-18 55,CLOSED,2019-09-11 17:42:07,2019-09-25 17:42:00,,2019-09-25 15:06:41,4
282,Containerization: RI-18 55,CLOSED,2019-09-11 22:37:28,2019-09-25 22:37:00,,2019-09-25 18:54:48,4
283,Foundations: RI-18 54,CLOSED,2019-08-28 17:39:01,2019-09-11 17:39:00,,2019-09-11 17:06:45,4
284,Storage: RI-18 54,CLOSED,2019-08-28 15:29:23,2019-09-11 15:29:00,,2019-11-20 17:37:23,4
285,Storage: RI-17 Sprint 52,CLOSED,2019-07-31 18:06:59,2019-08-14 18:06:00,,2019-08-28 15:27:15,4
